"°Å·¡ÀÏÀÚ","Ç°¸ñ¸í","¹ÝÀÔ·®","±Ý¾×","Àü³â ¹ÝÀÔ·®","Àü³â ¹ÝÀÔ·® Áõ°¨·ü(%)","Àü³â ±Ý¾×","Àü³â ±Ý¾× Áõ°¨·ü(%)","Æò³â ¹ÝÀÔ·®","Æò³â ¹ÝÀÔ·® Áõ°¨·ü(%)","Æò³â ±Ý¾×","Æò³â ±Ý¾× Áõ°¨·ü(%)"
"2024-12-04","³ì±¤","3223","8826600","5912","-45.5","19013200","-53.6","4168","-22.7","10175243","-13.3"
"2024-12-03","³ì±¤","3310","8580000",,"0.0",,"0.0","3526","-6.1","9114277","-5.9"
"2024-12-02","³ì±¤","4710","11919800",,"0.0",,"0.0","3488","35.0","8468442","40.8"
"2024-12-01","³ì±¤",,,"2153","0.0","7092700","0.0","3509","0.0","7973620","0.0"
"2024-11-30","³ì±¤","5178","13162900","3589","44.3","8797300","49.6","3729","38.9","8036597","63.8"
"2024-11-29","³ì±¤","4274","11263800","1886","126.6","4874400","131.1","3972","7.6","8366130","34.6"
"2024-11-28","³ì±¤","4128","11995150","5203","-20.7","12124000","-1.1","4214","-2.0","8929957","34.3"
"2024-11-27","³ì±¤","4433","15275800","5799","-23.6","15740100","-2.9","4167","6.4","9101257","67.8"
"2024-11-26","³ì±¤","3340","11827500",,"0.0",,"0.0","4098","-18.5","9494376","24.6"
"2024-11-25","³ì±¤","3994","13240000","3869","3.2","9447800","40.1","3999","-0.1","9815871","34.9"
"2024-11-24","³ì±¤",,,"3126","0.0","7599110","0.0","4011","0.0","9886034","0.0"
"2024-11-23","³ì±¤","3696","10853400","3320","11.3","9185100","18.2","4164","-11.2","10456014","3.8"
"2024-11-22","³ì±¤","2642","8348800","3424","-22.8","9301600","-10.2","4339","-39.1","11436771","-27.0"
"2024-11-21","³ì±¤","4005","11818800","3900","2.7","10533400","12.2","4265","-6.1","12010129","-1.6"
"2024-11-20","³ì±¤","4062","13195200","6335","-35.9","19357550","-31.8","4216","-3.7","12238847","7.8"
"2024-11-19","³ì±¤","4509","19494700",,"0.0",,"0.0","4218","6.9","11858174","64.4"
"2024-11-18","³ì±¤","4511","22012400","5618","-19.7","18512300","18.9","4487","0.5","13250411","66.1"
"2024-11-17","³ì±¤",,,"4499","0.0","19060800","0.0","4408","0.0","13835007","0.0"
"2024-11-16","³ì±¤","3560","18647150","3985","-10.7","18489650","0.9","4131","-13.8","13982777","33.4"
"2024-11-15","³ì±¤","4020","22588000","3802","5.7","17793200","26.9","3947","1.8","14160417","59.5"
"2024-11-14","³ì±¤","4056","24821300","3039","33.5","16503600","50.4","3706","9.4","13755506","80.4"
"2024-11-13","³ì±¤","2428","16547900","2283","6.4","10011260","65.3","3398","-28.5","12957416","27.7"
"2024-11-12","³ì±¤","2192","11988200",,"0.0",,"0.0","3230","-32.1","12185639","-1.6"
"2024-11-11","³ì±¤","3024","15966900","2685","12.6","8280400","92.8","3275","-7.7","12677599","25.9"
"2024-11-10","³ì±¤",,,"3317","0.0","7992500","0.0","3470","0.0","13740175","0.0"
